source	output	frames	fps	duration_s	swing_side	strike_phase	strike_frame	contact_range_start_30fps	contact_range_end_30fps	contact_center_30fps	source_video_global_time_s	segment_local_strike_frame_30fps_center	segment_local_strike_frame_30fps	action_label	manual_review_required	segment_video	segment_sheet
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c01_f012_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c01_f012_30fps_agibot_a3.npz	42	50.0	0.84	-1	0.512195122	21	11	14	12.5	300.4166666666667	12.5	12	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c01_f012_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c01_f012_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c02_f038_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c02_f038_30fps_agibot_a3.npz	45	50.0	0.9	-1	0.522727273	23	36	39	37.5	301.25	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c02_f038_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c02_f038_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c03_f064_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c03_f064_30fps_agibot_a3.npz	44	50.0	0.88	-1	0.534883721	23	63	66	64.5	302.15	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c03_f064_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c03_f064_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c04_f088_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c04_f088_30fps_agibot_a3.npz	44	50.0	0.88	-1	0.534883721	23	87	90	88.5	302.95	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c04_f088_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c04_f088_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c05_f114_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c05_f114_30fps_agibot_a3.npz	44	50.0	0.88	-1	0.534883721	23	112	115	113.5	303.78333333333336	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c05_f114_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c05_f114_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c06_f138_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c06_f138_30fps_agibot_a3.npz	45	50.0	0.9	-1	0.522727273	23	136	139	137.5	304.5833333333333	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c06_f138_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c06_f138_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c07_f164_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c07_f164_30fps_agibot_a3.npz	44	50.0	0.88	-1	0.534883721	23	162	165	163.5	305.45	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c07_f164_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c07_f164_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c08_f188_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c08_f188_30fps_agibot_a3.npz	44	50.0	0.88	-1	0.534883721	23	186	189	187.5	306.25	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c08_f188_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c08_f188_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c09_f212_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c09_f212_30fps_agibot_a3.npz	44	50.0	0.88	-1	0.534883721	23	211	214	212.5	307.0833333333333	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c09_f212_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c09_f212_sheet.jpg
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/npz_old_schema_static/bh_est_c10_f236_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_bili_BV1kk4y117rh_0500_0515_estimated/bh_est_c10_f236_30fps_agibot_a3.npz	37	50.0	0.74	-1	0.638888889	23	235	238	236.5	307.8833333333333	13.5	14	backhand_real_ball_dense_multiball	true	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/clips/estimated_single_hits/bh_est_c10_f236_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_bili_BV1kk4y117rh_20260721/sheets/estimated_single_hits/bh_est_c10_f236_sheet.jpg
