source	output	frames	fps	duration_s	swing_side	strike_phase
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/agibot_a3_smoke_stand.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/agibot_a3_smoke_stand.npz	5	50.0	0.1	1	0.5
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/agibot_a3_smoke_stand_120.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/agibot_a3_smoke_stand_120.npz	120	50.0	2.4	1	0.5042016806722689
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/basic_bounce_backhand_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/basic_bounce_backhand_agibot_a3.npz	147	50.0	2.94	-1	0.5
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/basic_bounce_forehand_twopoint_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/basic_bounce_forehand_twopoint_agibot_a3.npz	317	50.0	6.34	1	0.5
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/basic_bounce_ready_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/basic_bounce_ready_agibot_a3.npz	307	50.0	6.14	1	0.5
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/bili_forehand_shadow_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/bili_forehand_shadow_agibot_a3.npz	797	50.0	15.94	1	0.5
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/bili_side_slide_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/bili_side_slide_agibot_a3.npz	797	50.0	15.94	1	0.5
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/basic_bounce_backhand_agibot_a3_seg00_f0015_0115.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/basic_bounce_backhand_agibot_a3_seg00_f0015_0115.npz	100	50.0	2.0	-1	0.5050505050505051
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/basic_bounce_forehand_twopoint_agibot_a3_seg00_f0000_0100.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/basic_bounce_forehand_twopoint_agibot_a3_seg00_f0000_0100.npz	100	50.0	2.0	1	0.5050505050505051
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/basic_bounce_forehand_twopoint_agibot_a3_seg01_f0060_0160.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/basic_bounce_forehand_twopoint_agibot_a3_seg01_f0060_0160.npz	100	50.0	2.0	1	0.5050505050505051
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/basic_bounce_forehand_twopoint_agibot_a3_seg02_f0135_0235.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/basic_bounce_forehand_twopoint_agibot_a3_seg02_f0135_0235.npz	100	50.0	2.0	1	0.5050505050505051
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/basic_bounce_ready_agibot_a3_seg00_f0060_0160.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/basic_bounce_ready_agibot_a3_seg00_f0060_0160.npz	100	50.0	2.0	1	0.5050505050505051
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/basic_bounce_ready_agibot_a3_seg01_f0000_0100.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/basic_bounce_ready_agibot_a3_seg01_f0000_0100.npz	100	50.0	2.0	1	0.5050505050505051
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/basic_bounce_ready_agibot_a3_seg02_f0135_0235.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/basic_bounce_ready_agibot_a3_seg02_f0135_0235.npz	100	50.0	2.0	1	0.5050505050505051
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/bili_side_slide_agibot_a3_seg00_f0020_0130.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/bili_side_slide_agibot_a3_seg00_f0020_0130.npz	110	50.0	2.2	1	0.4954128440366973
/mnt/ssd/zxl/HOPE/hope_training/whole_body_tracking/sample_motions/footwork_segments/bili_side_slide_agibot_a3_seg01_f0360_0470.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/converted_old_hope/footwork_segments/bili_side_slide_agibot_a3_seg01_f0360_0470.npz	110	50.0	2.2	1	0.4954128440366973
