source	output	frames	fps	duration_s	swing_side	strike_phase	strike_frame	source_annotation_members	strike_global_frame_30fps	strike_global_time_s	segment_local_strike_frame_30fps_center	segment_local_strike_frame_30fps	action_label	manual_review_required	segment_video	segment_sheet	alignment_method	alignment_source	alignment_scale	lower_body_mode	lower_body_blend	root_yaw_mode	racket_pos_x_lo	racket_pos_x_hi	racket_pos_y_lo	racket_pos_y_hi	racket_pos_z_lo	racket_pos_z_hi	racket_pos_box_source	racket_pos_box_half_width_m
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c01_f020_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c01_f020_30fps_agibot_a3_a3fk_aligned.npz	52	50.0	1.04	1	0.647058824	33	seg1:hit1:9-12@g19.50	19.5	0.65	19.5	20	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c01_f020_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c01_f020_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c01_f020_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.385886	0.465886	0.191508	0.271508	1.422915	1.502915	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c02_f046_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c02_f046_30fps_agibot_a3_a3fk_aligned.npz	44	50.0	0.88	1	0.534883721	23	seg1:hit2:35-38@g45.50	45.5	1.5166666666666666	13.5	14	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c02_f046_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c02_f046_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c02_f046_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.533548	0.613548	-0.121633	-0.041633	1.272974	1.352974	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c03_f075_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c03_f075_30fps_agibot_a3_a3fk_aligned.npz	42	50.0	0.84	1	0.585365854	24	seg2:hit1:25-28@g74.50	74.5	2.4833333333333334	14.5	15	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c03_f075_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c03_f075_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c03_f075_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.417419	0.497419	0.001605	0.081605	1.310466	1.390466	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c04_f099_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c04_f099_30fps_agibot_a3_a3fk_aligned.npz	39	50.0	0.78	1	0.578947368	22	seg2:hit2:50-50@g98.00;seg3:hit1:9-12@g100.50	99.25	3.308333333333333	13.25	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c04_f099_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c04_f099_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c04_f099_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.370191	0.450191	0.073856	0.153856	1.385732	1.465732	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c05_f123_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c05_f123_30fps_agibot_a3_a3fk_aligned.npz	40	50.0	0.8	1	0.538461538	21	seg3:hit2:31-34@g122.50	122.5	4.083333333333333	12.5	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c05_f123_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c05_f123_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c05_f123_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.668269	0.748269	-0.129139	-0.049139	1.179585	1.259585	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c06_f148_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c06_f148_30fps_agibot_a3_a3fk_aligned.npz	39	50.0	0.78	1	0.578947368	22	seg4:hit1:16-16@g148.00	148.0	4.933333333333334	13.0	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c06_f148_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c06_f148_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c06_f148_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.799491	0.879491	-0.091373	-0.011373	1.198099	1.278099	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c07_f171_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c07_f171_30fps_agibot_a3_a3fk_aligned.npz	39	50.0	0.78	1	0.526315789	20	seg4:hit2:37-41@g171.00	171.0	5.7	12.0	12	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c07_f171_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c07_f171_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c07_f171_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.532890	0.612890	-0.172560	-0.092560	1.169094	1.249094	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c08_f196_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c08_f196_30fps_agibot_a3_a3fk_aligned.npz	39	50.0	0.78	1	0.578947368	22	seg5:hit1:22-22@g196.00	196.0	6.533333333333333	13.0	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c08_f196_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c08_f196_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c08_f196_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.669029	0.749029	-0.041578	0.038422	1.285174	1.365174	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c09_f219_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c09_f219_30fps_agibot_a3_a3fk_aligned.npz	39	50.0	0.78	1	0.500000000	19	seg5:hit2:44-44@g218.00;seg6:hit1:9-9@g219.00	218.5	7.283333333333333	11.5	12	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c09_f219_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c09_f219_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c09_f219_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.509986	0.589986	-0.131082	-0.051082	1.209535	1.289535	strike_frame_wrist_mount_fk	0.040
/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c10_f244_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/forehand_user_corrected_a3fk_yaw_leg_stabilized_20260722/nk_userhit_c10_f244_30fps_agibot_a3_a3fk_aligned.npz	39	50.0	0.78	1	0.578947368	22	seg6:hit2:34-34@g244.00	244.0	8.133333333333333	13.0	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c10_f244_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c10_f244_sheet.jpg	a3_fk_ground_scale_root_root_yaw_canonical_lower_body_stabilized_v1	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c10_f244_30fps_agibot_a3.npz	1.464081343	stabilize	0.200000	ready_to_default	0.598202	0.678202	-0.005125	0.074875	1.268139	1.348139	strike_frame_wrist_mount_fk	0.040
