clip	keep	strike_frame	racket_target_y_center	right_wrist_rel_y_at_strike	right_wrist_rel_neg_frac_11f	reason	segment_video	segment_sheet
nk_userhit_c01_f020_30fps_agibot_a3_a3fk_aligned	false	33	0.231508	-0.079999	0.545455	excluded: target_y is center/+y or wrist window is not a clean forehand-side strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c01_f020_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c01_f020_sheet.jpg
nk_userhit_c02_f046_30fps_agibot_a3_a3fk_aligned	true	23	-0.081633	-0.164356	0.909091	kept: target_y<0 and right_wrist stays on A3 forehand(-y) side near strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c02_f046_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c02_f046_sheet.jpg
nk_userhit_c03_f075_30fps_agibot_a3_a3fk_aligned	false	24	0.041605	-0.302918	0.818182	excluded: target_y is center/+y or wrist window is not a clean forehand-side strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c03_f075_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c03_f075_sheet.jpg
nk_userhit_c04_f099_30fps_agibot_a3_a3fk_aligned	false	22	0.113856	-0.157532	0.636364	excluded: target_y is center/+y or wrist window is not a clean forehand-side strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c04_f099_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c04_f099_sheet.jpg
nk_userhit_c05_f123_30fps_agibot_a3_a3fk_aligned	true	21	-0.089139	-0.279619	0.727273	kept: target_y<0 and right_wrist stays on A3 forehand(-y) side near strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c05_f123_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c05_f123_sheet.jpg
nk_userhit_c06_f148_30fps_agibot_a3_a3fk_aligned	true	22	-0.051373	-0.171513	0.636364	kept: target_y<0 and right_wrist stays on A3 forehand(-y) side near strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c06_f148_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c06_f148_sheet.jpg
nk_userhit_c07_f171_30fps_agibot_a3_a3fk_aligned	true	20	-0.132560	-0.369661	0.818182	kept: target_y<0 and right_wrist stays on A3 forehand(-y) side near strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c07_f171_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c07_f171_sheet.jpg
nk_userhit_c08_f196_30fps_agibot_a3_a3fk_aligned	false	22	-0.001578	-0.159163	0.545455	excluded: target_y is center/+y or wrist window is not a clean forehand-side strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c08_f196_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c08_f196_sheet.jpg
nk_userhit_c09_f219_30fps_agibot_a3_a3fk_aligned	true	19	-0.091082	-0.344672	0.818182	kept: target_y<0 and right_wrist stays on A3 forehand(-y) side near strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c09_f219_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c09_f219_sheet.jpg
nk_userhit_c10_f244_30fps_agibot_a3_a3fk_aligned	false	22	0.034875	-0.211128	0.636364	excluded: target_y is center/+y or wrist window is not a clean forehand-side strike	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c10_f244_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c10_f244_sheet.jpg
