source	output	frames	fps	duration_s	swing_side	strike_phase	strike_frame	source_annotation_members	strike_global_frame_30fps	strike_global_time_s	segment_local_strike_frame_30fps_center	segment_local_strike_frame_30fps	action_label	manual_review_required	segment_video	segment_sheet	manifest_source	contact_range_start_30fps	contact_range_end_30fps	contact_center_30fps	source_video_global_time_s
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c01_f020_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c01_f020_30fps_agibot_a3.npz	52	50.0	1.04	1	0.647058824	33	seg1:hit1:9-12@g19.50	19.5	0.65	19.5	20	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c01_f020_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c01_f020_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c02_f046_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c02_f046_30fps_agibot_a3.npz	44	50.0	0.88	1	0.534883721	23	seg1:hit2:35-38@g45.50	45.5	1.5166666666666666	13.5	14	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c02_f046_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c02_f046_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c03_f075_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c03_f075_30fps_agibot_a3.npz	42	50.0	0.84	1	0.585365854	24	seg2:hit1:25-28@g74.50	74.5	2.4833333333333334	14.5	15	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c03_f075_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c03_f075_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c04_f099_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c04_f099_30fps_agibot_a3.npz	39	50.0	0.78	1	0.578947368	22	seg2:hit2:50-50@g98.00;seg3:hit1:9-12@g100.50	99.25	3.308333333333333	13.25	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c04_f099_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c04_f099_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c05_f123_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c05_f123_30fps_agibot_a3.npz	40	50.0	0.8	1	0.538461538	21	seg3:hit2:31-34@g122.50	122.5	4.083333333333333	12.5	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c05_f123_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c05_f123_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c06_f148_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c06_f148_30fps_agibot_a3.npz	39	50.0	0.78	1	0.578947368	22	seg4:hit1:16-16@g148.00	148.0	4.933333333333334	13.0	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c06_f148_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c06_f148_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c07_f171_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c07_f171_30fps_agibot_a3.npz	39	50.0	0.78	1	0.526315789	20	seg4:hit2:37-41@g171.00	171.0	5.7	12.0	12	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c07_f171_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c07_f171_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c08_f196_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c08_f196_30fps_agibot_a3.npz	39	50.0	0.78	1	0.578947368	22	seg5:hit1:22-22@g196.00	196.0	6.533333333333333	13.0	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c08_f196_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c08_f196_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c09_f219_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c09_f219_30fps_agibot_a3.npz	39	50.0	0.78	1	0.500000000	19	seg5:hit2:44-44@g218.00;seg6:hit1:9-9@g219.00	218.5	7.283333333333333	11.5	12	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c09_f219_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c09_f219_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/npz_old_schema_user_corrected_static/nk_userhit_c10_f244_30fps_agibot_a3.npz	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/nk_userhit_c10_f244_30fps_agibot_a3.npz	39	50.0	0.78	1	0.578947368	22	seg6:hit2:34-34@g244.00	244.0	8.133333333333333	13.0	13	forehand_real_ball_rally	false	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clips/user_corrected_single_hits/nk_userhit_c10_f244_30fps.mp4	/mnt/ssd/zxl/HOPE_latest_20260721/data/motion_pipeline/backhand_hunt_20260721/clip_sheets/user_corrected_single_hits/nk_userhit_c10_f244_sheet.jpg	/mnt/ssd/zxl/HOPE_latest_20260721/hope_training/motions/backhand_hunt_20260721_user_corrected/manifest.tsv				
